Time (s)	Voltage (V)	Current (A)
0	-1.02303	-0.00140777
0.359	-1.0235	-0.00435193
0.559	-1.0245	-0.00644908
0.759	-1.0255	-0.00823022
0.959	-1.0265	-0.00982844
1.159	-1.0275	-0.0113708
1.359	-1.0285	-0.0128464
1.559	-1.0295	-0.0141824
1.759	-1.0305	-0.0154684
1.959	-1.0315	-0.0167365
2.159	-1.0325	-0.0179192
2.359	-1.0335	-0.0190582
2.559	-1.0345	-0.0202245
2.759	-1.0355	-0.021321
2.959	-1.0365	-0.0223822
3.159	-1.0375	-0.0234405
3.359	-1.0385	-0.0244704
3.559	-1.0395	-0.0254535
3.759	-1.0405	-0.0264156
3.959	-1.0415	-0.0274065
4.159	-1.0425	-0.0283915
4.359	-1.0435	-0.0293153
4.559	-1.0445	-0.0302301
4.759	-1.0455	-0.0311612
4.959	-1.0465	-0.0320558
5.159	-1.0475	-0.0329094
5.359	-1.0485	-0.0338144
5.559	-1.0495	-0.0346639
5.759	-1.0505	-0.0355018
5.959	-1.0515	-0.0363621
6.159	-1.0525	-0.0372408
6.359	-1.0535	-0.0380671
6.559	-1.0545	-0.0388881
6.759	-1.0555	-0.0397499
7.159	-1.056	-0.0395335
7.359	-1.057	-0.0407532
7.559	-1.058	-0.0416763
7.759	-1.059	-0.0425473
7.959	-1.06	-0.0434477
8.159	-1.061	-0.0443355
8.359	-1.062	-0.0451573
8.559	-1.063	-0.0459757
8.759	-1.064	-0.0468415
8.959	-1.065	-0.0477081
9.159	-1.066	-0.0484879
9.359	-1.067	-0.0492906
9.559	-1.068	-0.0501365
9.759	-1.069	-0.0509261
9.959	-1.07	-0.0516698
10.159	-1.071	-0.0525168
10.359	-1.072	-0.0532965
10.559	-1.073	-0.054101
10.759	-1.074	-0.0549324
10.959	-1.075	-0.0557934
11.159	-1.076	-0.0566479
11.359	-1.077	-0.0574977
11.559	-1.078	-0.0583428
11.759	-1.079	-0.0591471
11.959	-1.08	-0.0599937
12.159	-1.081	-0.0608042
12.359	-1.082	-0.0616526
12.559	-1.083	-0.0624995
12.759	-1.084	-0.0632658
12.959	-1.085	-0.0640827
13.159	-1.086	-0.0648838
13.359	-1.087	-0.0656547
13.559	-1.088	-0.0665364
13.759	-1.089	-0.0674268
13.959	-1.09	-0.0682793
14.159	-1.091	-0.069071
