Time (s)	Voltage (V)	Current (A)
0	0.00087505	-0.307869
0.35	0.00262505	-0.286645
0.7	0.00437505	-0.265257
1.05	0.00612505	-0.243492
1.4	0.00787505	-0.221613
1.75	0.00962505	-0.198836
2.1	0.011375	-0.172566
2.45	0.0131251	-0.15074
2.8	0.0148751	-0.134216
3.15	0.0166251	-0.122819
3.5	0.0183751	-0.114168
3.85	0.0201251	-0.106955
4.2	0.0218751	-0.100201
4.55	0.0236251	-0.0942664
4.9	0.0253751	-0.089905
5.25	0.0271251	-0.0858116
5.6	0.0288751	-0.0821854
5.95	0.0306251	-0.0786038
6.3	0.0323751	-0.0760293
6.65	0.034125	-0.0736479
7	0.0358751	-0.0701495
7.35	0.037625	-0.0681781
7.7	0.0393751	-0.0656914
8.05	0.041125	-0.064028
8.4	0.0428751	-0.0607916
8.75	0.044625	-0.0604432
9.1	0.0463751	-0.0579316
9.45	0.0481251	-0.0574092
9.8	0.0498751	-0.0548779
10.15	0.0516251	-0.0538503
10.5	0.0533751	-0.0520563
10.85	0.0551251	-0.0508083
11.2	0.0568751	-0.0493153
11.55	0.0586251	-0.0484301
11.9	0.0603751	-0.0471876
12.25	0.0621251	-0.0468276
12.6	0.0638751	-0.0453718
12.95	0.0656251	-0.0444297
13.3	0.067375	-0.0428246
13.65	0.0691251	-0.0423558
14	0.070875	-0.0412217
14.35	0.0726251	-0.0400162
14.7	0.074375	-0.0398146
15.05	0.0761251	-0.0391746
15.4	0.0778751	-0.0376184
15.75	0.0796251	-0.0375311
16.1	0.0813751	-0.0371611
16.45	0.0831251	-0.03614
16.8	0.0849063	-0.0349889
17.15	0.0866563	-0.0351212
17.5	0.0884063	-0.0338949
17.85	0.0901563	-0.0342129
18.2	0.0919063	-0.032924
18.55	0.0936563	-0.031581
18.9	0.0954063	-0.0315392
19.25	0.0971563	-0.0309391
19.6	0.0989063	-0.0311406
19.95	0.100656	-0.030409
20.3	0.102406	-0.0292078
20.65	0.104156	-0.0295063
21	0.105906	-0.0276934
21.35	0.107656	-0.0280399
21.7	0.109406	-0.0275222
22.05	0.111156	-0.0263254
22.4	0.112906	-0.0265917
22.75	0.114656	-0.0256391
23.1	0.116406	-0.0264173
23.45	0.118156	-0.0246055
23.8	0.119906	-0.024579
24.15	0.121656	-0.0247902
24.5	0.123406	-0.0244552
24.85	0.125156	-0.0242251
25.2	0.126906	-0.0240744
25.55	0.128656	-0.0231554
25.9	0.130406	-0.0232051
26.25	0.132156	-0.0227652
26.6	0.133906	-0.0222813
26.95	0.135656	-0.0219349
27.3	0.137406	-0.0222502
27.65	0.139156	-0.0211925
28	0.140906	-0.0205596
28.35	0.142656	-0.0207155
28.7	0.144406	-0.0203481
29.05	0.146156	-0.0207003
29.4	0.147906	-0.019992
29.75	0.149656	-0.0203958
30.1	0.151406	-0.0201807
30.45	0.153156	-0.0199815
30.8	0.154906	-0.0189928
31.15	0.156656	-0.0189458
31.5	0.158406	-0.0181964
31.85	0.160156	-0.0182151
32.2	0.161906	-0.0172538
32.55	0.163656	-0.0176913
32.9	0.165406	-0.0176103
33.25	0.167156	-0.0169111
33.6	0.168906	-0.0172501
33.95	0.170656	-0.0167202
34.3	0.172406	-0.0169575
34.65	0.174156	-0.0165821
35	0.175906	-0.0160608
35.35	0.177656	-0.016016
35.7	0.179406	-0.0153188
36.05	0.181156	-0.0154243
36.4	0.182906	-0.0157181
36.75	0.184656	-0.0154254
37.1	0.186406	-0.0146399
37.45	0.188156	-0.0147508
37.8	0.189906	-0.0148071
38.15	0.191656	-0.0140507
38.5	0.193406	-0.0139031
38.85	0.195156	-0.0141143
39.2	0.196906	-0.0140703
39.55	0.198656	-0.0140754
39.9	0.200406	-0.0136456
40.25	0.202156	-0.0127481
40.6	0.203906	-0.0129949
40.95	0.205656	-0.0128265
41.3	0.207406	-0.0131307
41.65	0.209156	-0.0122551
42	0.210906	-0.0129103
42.35	0.212656	-0.012229
42.7	0.214406	-0.0114177
43.05	0.216156	-0.011273
43.4	0.217906	-0.0118823
43.75	0.219656	-0.0113035
44.1	0.221406	-0.0109912
44.45	0.223156	-0.0116797
44.8	0.224906	-0.0115651
45.15	0.226656	-0.010588
45.5	0.228406	-0.0101815
45.85	0.230156	-0.0102963
46.2	0.231938	-0.0117175
46.55	0.233688	-0.00962604
46.9	0.235438	-0.00953886
47.25	0.237188	-0.0096232
47.6	0.238938	-0.0103354
47.95	0.240688	-0.009894
48.3	0.242438	-0.00919865
48.65	0.244188	-0.00912704
49	0.245938	-0.00989009
49.35	0.247688	-0.00919504
49.7	0.249438	-0.00788988
50.05	0.251188	-0.00892606
50.4	0.252938	-0.00768999
50.75	0.254688	-0.00883203
51.1	0.256438	-0.00811278
51.45	0.258188	-0.00863544
51.8	0.259938	-0.00785661
52.15	0.261688	-0.00750027
52.5	0.263438	-0.00762482
52.85	0.265188	-0.00761099
53.2	0.266938	-0.00661002
53.55	0.268688	-0.00671578
53.9	0.270438	-0.00676797
54.25	0.272188	-0.00686781
54.6	0.273938	-0.00671893
54.95	0.275688	-0.00589854
55.3	0.277438	-0.00611554
55.65	0.279188	-0.0052015
56	0.280938	-0.00572071
56.35	0.282688	-0.00590234
56.7	0.284438	-0.00466934
57.05	0.286188	-0.0050107
57.4	0.287938	-0.00464204
57.75	0.289688	-0.00404894
58.1	0.291438	-0.00407008
58.45	0.293188	-0.00455157
58.8	0.294938	-0.00360349
59.15	0.296688	-0.00363174
59.5	0.298438	-0.00297163
59.85	0.300188	-0.0026135
60.2	0.301938	-0.00231353
60.55	0.303688	-0.00139269
60.9	0.305438	-0.00193114
61.25	0.307188	-0.00179282
61.6	0.308938	-0.00114187
61.95	0.310688	-0.000817588
62.3	0.312438	-0.00073221
62.65	0.314188	-0.000224754
63	0.315938	-0.000233726
63.35	0.317688	0.000674742
63.7	0.319438	0.000673621
64.05	0.321188	0.000405639
64.4	0.322938	0.00104973
64.75	0.324688	0.00162425
65.1	0.326438	0.00237088
65.45	0.328188	0.00240951
65.8	0.329938	0.00281423
66.15	0.331688	0.00390862
66.5	0.333438	0.00397851
66.85	0.335188	0.00361904
67.2	0.336938	0.00497042
67.55	0.338688	0.0053571
67.9	0.340438	0.00535682
68.25	0.342188	0.00587486
68.6	0.343938	0.00679723
68.95	0.345688	0.0072829
69.3	0.347438	0.0081304
69.65	0.349188	0.00915998
70	0.350938	0.00913851
70.35	0.352688	0.00988199
70.7	0.354438	0.0105508
71.05	0.356188	0.011976
71.4	0.357938	0.0117941
71.75	0.359688	0.0126015
72.1	0.361438	0.0136293
72.45	0.363188	0.0146664
72.8	0.364938	0.0162913
73.15	0.366688	0.0169765
73.5	0.368438	0.0179395
73.85	0.370188	0.0208954
74.2	0.371938	0.0215382
74.55	0.373688	0.0227241
74.9	0.375438	0.0238887
75.25	0.377219	0.0257848
75.6	0.378969	0.0281881
75.95	0.380719	0.0299797
76.3	0.382469	0.0312252
76.65	0.384219	0.033779
77	0.385969	0.0350409
77.35	0.387719	0.0365117
77.7	0.389469	0.0390623
78.05	0.391219	0.0410765
78.4	0.392969	0.0420246
78.75	0.394719	0.0440415
79.1	0.396469	0.0459625
79.45	0.398219	0.0473715
79.8	0.399969	0.0493672
80.15	0.401719	0.0519853
80.5	0.403469	0.0525744
80.85	0.405219	0.0538102
81.2	0.406969	0.0559455
81.55	0.408719	0.0576144
81.9	0.410469	0.0586182
82.25	0.412219	0.0606608
82.6	0.413969	0.0629034
82.95	0.415719	0.0644072
83.3	0.417469	0.0657411
83.65	0.419219	0.0678675
84	0.420969	0.068975
84.35	0.422719	0.0706467
84.7	0.424469	0.072091
85.05	0.426219	0.0727628
85.4	0.427969	0.0747206
85.75	0.429719	0.0759383
86.1	0.431469	0.0782973
86.45	0.433219	0.0796101
86.8	0.434969	0.0801715
87.15	0.436719	0.081372
87.5	0.438469	0.0831678
87.85	0.440219	0.0849198
88.2	0.441969	0.086168
88.55	0.443719	0.0862731
88.9	0.445469	0.0879426
89.25	0.447219	0.0899452
89.6	0.448969	0.0901321
89.95	0.450719	0.0925347
90.3	0.452469	0.0935256
90.65	0.454219	0.0946014
91	0.455969	0.0949878
91.35	0.457719	0.0974793
91.7	0.459469	0.0975579
92.05	0.461219	0.0985863
92.4	0.462969	0.0999952
92.75	0.464719	0.100958
93.1	0.466469	0.101538
93.45	0.468219	0.102535
93.8	0.469969	0.10357
94.15	0.471719	0.104762
94.5	0.473469	0.10561
94.85	0.475219	0.1073
95.2	0.476969	0.107503
95.55	0.478719	0.107923
95.9	0.480469	0.109071
96.25	0.482219	0.108932
96.6	0.483969	0.111053
96.95	0.485719	0.111079
97.3	0.487469	0.111152
97.65	0.489219	0.112314
98	0.490969	0.112086
98.35	0.492719	0.113046
98.7	0.494469	0.113579
99.05	0.496219	0.114467
99.4	0.497969	0.115156
99.75	0.499719	0.115715
100.1	0.501469	0.116309
100.45	0.503219	0.116444
100.8	0.504969	0.116057
101.15	0.506719	0.116404
101.5	0.508469	0.117216
101.85	0.510219	0.117746
102.2	0.511969	0.118096
102.55	0.513719	0.118788
102.9	0.515469	0.117325
103.25	0.517219	0.118501
103.6	0.518969	0.118534
103.95	0.520719	0.119352
104.3	0.522469	0.119472
104.65	0.52425	0.119898
105	0.526	0.119968
105.35	0.52775	0.118853
105.7	0.5295	0.120012
106.05	0.53125	0.120038
106.4	0.533	0.120183
106.75	0.53475	0.120038
107.1	0.5365	0.121192
107.45	0.53825	0.120112
107.8	0.54	0.120789
108.15	0.54175	0.120402
108.5	0.5435	0.120863
108.85	0.54525	0.121325
109.2	0.547	0.120691
109.55	0.54875	0.120845
109.9	0.5505	0.120889
110.25	0.55225	0.121027
110.6	0.554	0.120628
110.95	0.55575	0.121711
111.3	0.5575	0.121101
111.65	0.55925	0.121031
112	0.561	0.121548
112.35	0.56275	0.12144
112.7	0.5645	0.12169
113.05	0.56625	0.121589
113.4	0.568	0.121488
113.75	0.56975	0.121707
114.1	0.5715	0.121877
114.45	0.57325	0.121923
114.8	0.575	0.121636
115.15	0.57675	0.122726
115.5	0.5785	0.122312
115.85	0.58025	0.122348
116.2	0.582	0.122042
116.55	0.58375	0.12306
116.9	0.5855	0.122709
117.25	0.58725	0.123131
117.6	0.589	0.122641
117.95	0.59075	0.123549
118.3	0.5925	0.124083
118.65	0.59425	0.12393
119	0.596	0.124783
119.35	0.59775	0.12426
119.7	0.5995	0.124585
120.05	0.60125	0.125661
120.4	0.603	0.125683
120.75	0.60475	0.126998
121.1	0.6065	0.126487
121.45	0.60825	0.127001
121.8	0.61	0.127492
122.15	0.61175	0.127339
122.5	0.6135	0.129353
122.85	0.61525	0.12889
123.2	0.617	0.130021
123.55	0.61875	0.129936
123.9	0.6205	0.131346
124.25	0.62225	0.131689
124.6	0.624	0.132781
124.95	0.62575	0.132627
125.3	0.6275	0.132909
125.65	0.62925	0.135385
126	0.631	0.135408
126.35	0.63275	0.135929
126.7	0.6345	0.13719
127.05	0.63625	0.138004
127.4	0.638	0.139124
127.75	0.63975	0.140008
128.1	0.6415	0.141292
128.45	0.64325	0.141979
128.8	0.645	0.142725
129.15	0.64675	0.143374
129.5	0.6485	0.144028
129.85	0.65025	0.146441
130.2	0.652	0.146643
130.55	0.65375	0.148049
130.9	0.6555	0.1488
131.25	0.65725	0.149905
131.6	0.659	0.151255
131.95	0.66075	0.15177
132.3	0.6625	0.153321
132.65	0.66425	0.153817
133	0.666	0.155498
133.35	0.66775	0.156508
133.7	0.669531	0.157287
134.05	0.671281	0.159724
134.4	0.673031	0.161094
134.75	0.674781	0.161655
135.1	0.676531	0.162523
135.45	0.678281	0.163334
135.8	0.680031	0.164326
136.15	0.681781	0.166855
136.5	0.683531	0.166824
136.85	0.685281	0.168809
137.2	0.687031	0.169882
137.55	0.688781	0.171812
137.9	0.690531	0.171925
138.25	0.692281	0.173887
138.6	0.694031	0.175083
138.95	0.695781	0.176809
139.3	0.697531	0.17785
139.65	0.699281	0.179604
140	0.699281	0.179692
140.35	0.697531	0.177541
140.7	0.695781	0.174666
141.05	0.694031	0.173266
141.4	0.692281	0.171334
141.75	0.690531	0.169552
142.1	0.688781	0.167987
142.45	0.687031	0.166077
142.8	0.685281	0.164597
143.15	0.683531	0.162923
143.5	0.681781	0.160435
143.85	0.680031	0.159092
144.2	0.678281	0.157048
144.55	0.676531	0.155538
144.9	0.674781	0.155046
145.25	0.673031	0.152682
145.6	0.671281	0.151917
145.95	0.669531	0.15083
146.3	0.667781	0.149271
146.65	0.666031	0.147567
147	0.664281	0.145532
147.35	0.662531	0.144385
147.7	0.660781	0.143639
148.05	0.659031	0.141524
148.4	0.657281	0.139516
148.75	0.655531	0.138502
149.1	0.653781	0.136786
149.45	0.652031	0.135599
149.8	0.650281	0.133598
150.15	0.648531	0.132108
150.5	0.646781	0.131199
150.85	0.645031	0.129233
151.2	0.643281	0.128614
151.55	0.641531	0.127367
151.9	0.639781	0.125849
152.25	0.638031	0.124812
152.6	0.636281	0.123267
152.95	0.634531	0.121506
153.3	0.632781	0.120396
153.65	0.631031	0.119453
154	0.629281	0.118517
154.35	0.627531	0.116334
154.7	0.625781	0.114912
155.05	0.624031	0.114393
155.4	0.622281	0.112466
155.75	0.620531	0.111254
156.1	0.618781	0.110143
156.45	0.617031	0.108039
156.8	0.615281	0.106797
157.15	0.613531	0.105616
157.5	0.611781	0.104536
157.85	0.610031	0.103031
158.2	0.608281	0.101947
158.55	0.606531	0.0998861
158.9	0.604781	0.0987799
159.25	0.603031	0.0976554
159.6	0.601281	0.096529
159.95	0.5995	0.0958927
160.3	0.59775	0.0937907
160.65	0.596	0.0937951
161	0.59425	0.0917234
161.35	0.5925	0.0908959
161.7	0.59075	0.0899416
162.05	0.589	0.0883176
162.4	0.58725	0.0871749
162.75	0.5855	0.0862876
163.1	0.58375	0.0850622
163.45	0.582	0.0834568
163.8	0.58025	0.0819309
164.15	0.5785	0.0807797
164.5	0.57675	0.0799049
164.85	0.575	0.0791032
165.2	0.57325	0.0775453
165.55	0.5715	0.076373
165.9	0.56975	0.0757623
166.25	0.568	0.0738558
166.6	0.56625	0.0729065
166.95	0.5645	0.0719905
167.3	0.56275	0.0706362
167.65	0.561	0.0701567
168	0.55925	0.0687069
168.35	0.5575	0.0672261
168.7	0.55575	0.0663516
169.05	0.554	0.0654674
169.4	0.55225	0.064947
169.75	0.5505	0.063731
170.1	0.54875	0.0619098
170.45	0.547	0.060919
170.8	0.54525	0.060755
171.15	0.5435	0.0594551
171.5	0.54175	0.0587311
171.85	0.54	0.0569013
172.2	0.53825	0.0567932
172.55	0.5365	0.0555309
172.9	0.53475	0.0546555
173.25	0.533	0.0526273
173.6	0.53125	0.0524206
173.95	0.5295	0.0516353
174.3	0.52775	0.0508327
174.65	0.526	0.0493281
175	0.52425	0.0479458
175.35	0.5225	0.0473031
175.7	0.52075	0.046648
176.05	0.519	0.0456059
176.4	0.51725	0.044849
176.75	0.5155	0.0433705
177.1	0.51375	0.0420989
177.45	0.512	0.0416013
177.8	0.51025	0.0410113
178.15	0.5085	0.0403942
178.5	0.50675	0.0387387
178.85	0.505	0.0373893
179.2	0.50325	0.0357727
179.55	0.5015	0.0353567
179.9	0.49975	0.0345299
180.25	0.498	0.033757
180.6	0.49625	0.032664
180.95	0.4945	0.0317705
181.3	0.49275	0.0300338
181.65	0.491	0.030108
182	0.48925	0.0291638
182.35	0.4875	0.028123
182.7	0.48575	0.0277955
183.05	0.484	0.0268724
183.4	0.48225	0.0263353
183.75	0.4805	0.024869
184.1	0.47875	0.0235999
184.45	0.477	0.0230547
184.8	0.47525	0.0220609
185.15	0.4735	0.0210977
185.5	0.47175	0.0200797
185.85	0.47	0.0199031
186.2	0.46825	0.0194361
186.55	0.4665	0.0185989
186.9	0.46475	0.017781
187.25	0.463	0.0172414
187.6	0.46125	0.0155969
187.95	0.4595	0.0151102
188.3	0.45775	0.0148978
188.65	0.456	0.0134159
189	0.45425	0.013256
189.35	0.452469	0.0121208
189.7	0.450719	0.0115056
190.05	0.448969	0.00985314
190.4	0.447219	0.00978522
190.75	0.445469	0.00948321
191.1	0.443719	0.00768447
191.45	0.441969	0.00796333
191.8	0.440219	0.00708131
192.15	0.438469	0.00610752
192.5	0.436719	0.00517082
192.85	0.434969	0.00561438
193.2	0.433219	0.00454198
193.55	0.431469	0.00362144
193.9	0.429719	0.00290134
194.25	0.427969	0.00202579
194.6	0.426219	0.00235423
194.95	0.424469	0.000606283
195.3	0.422719	0.00036089
195.65	0.420969	-0.000834515
196	0.419219	-0.00132755
196.35	0.417469	-0.00239496
196.7	0.415719	-0.00245833
197.05	0.413969	-0.0029176
197.4	0.412219	-0.00343672
197.75	0.410469	-0.00455376
198.1	0.408719	-0.00430617
198.45	0.406969	-0.00566122
198.8	0.405219	-0.00626202
199.15	0.403469	-0.00674081
199.5	0.401719	-0.00773837
199.85	0.399969	-0.00818219
200.2	0.398219	-0.00990573
200.55	0.396469	-0.0107013
200.9	0.394719	-0.0104244
201.25	0.392969	-0.0113784
201.6	0.391219	-0.0125946
201.95	0.389469	-0.0126418
202.3	0.387719	-0.0137014
202.65	0.385969	-0.0144366
203	0.384219	-0.0143337
203.35	0.382469	-0.015481
203.7	0.380719	-0.0158316
204.05	0.378969	-0.0171067
204.4	0.377219	-0.0171563
204.75	0.375469	-0.0186176
205.1	0.373719	-0.0189756
205.45	0.371969	-0.0193026
205.8	0.370219	-0.020284
206.15	0.368469	-0.0207835
206.5	0.366719	-0.0218511
206.85	0.364969	-0.022552
207.2	0.363219	-0.0224191
207.55	0.361469	-0.023571
207.9	0.359719	-0.0248447
208.25	0.357969	-0.0244945
208.6	0.356219	-0.0259404
208.95	0.354469	-0.0259056
209.3	0.352719	-0.0267483
209.65	0.350969	-0.027855
210	0.349219	-0.027635
210.35	0.347469	-0.0288854
210.7	0.345719	-0.0293944
211.05	0.343969	-0.0307661
211.4	0.342219	-0.0301579
211.75	0.340469	-0.0317802
212.1	0.338719	-0.0334862
212.45	0.336969	-0.0331182
212.8	0.335219	-0.0340135
213.15	0.333469	-0.0347353
213.5	0.331719	-0.0356629
213.85	0.329969	-0.0355988
214.2	0.328219	-0.0366882
